,USEcoUncertaintyxTrend
1985-12-31,-1.4960893497183747
1986-01-31,26.301652585765495
1986-02-28,29.032189260112673
1986-03-31,-18.61892825140808
1986-04-30,-10.641999935995898
1986-05-31,3.5796183435739977
1986-06-30,27.043888056835627
1986-07-31,21.13814612135178
1986-08-31,13.982097734254978
1986-09-30,36.732940028161806
1986-10-31,-15.86314599334358
1986-11-30,-42.27523380696364
1986-12-31,-41.45125531233998
1987-01-31,-33.039266065028144
1987-02-28,-49.01621786994369
1987-03-31,-47.30036533538147
1987-04-30,-36.27236533538148
1987-05-31,-47.707833077316955
1987-06-30,-14.891359959037388
1987-07-31,-26.721924475166418
1987-08-31,-31.55224705581157
1987-09-30,-15.495538274449565
1987-10-31,43.174961725550446
1987-11-30,54.20078789042496
1987-12-31,30.15275563236048
1988-01-31,23.0643954173067
1988-02-29,-7.521792609071795
1988-03-31,-13.034374181188966
1988-04-30,-11.346914503769625
1988-05-31,-3.6892424607588623
1988-06-30,-12.16179891237178
1988-07-31,-10.587546224199741
1988-08-31,-7.247116116672842
1988-09-30,-34.80945751452231
1988-10-31,1.8203166790260639
1988-11-30,15.371725281176623
1988-12-31,-5.352387622049193
1989-01-31,6.762155388703491
1989-02-28,-14.555461341525856
1989-03-31,-16.472039682539673
1989-04-30,-5.43973771121351
1989-05-31,0.150961213517661
1989-06-30,7.703701356886839
1989-07-31,19.041136840757815
1989-08-31,-12.524562083973379
1989-09-30,-27.482810291858684
1989-10-31,4.017980030721972
1989-11-30,7.091780209933447
1989-12-31,10.871903865847415
1990-01-31,28.368194188428077
1990-02-28,24.080323604710713
1990-03-31,-7.130018177163336
1990-04-30,-4.180904377880182
1990-05-31,-4.876667818740415
1990-06-30,1.1531583461341341
1990-07-31,6.24270135688684
1990-08-31,53.74745942140298
1990-09-30,39.60818612391192
1990-10-31,36.59636354326676
1990-11-30,45.230178059395755
1990-12-31,19.41852752176139
1991-01-31,25.03901139272915
1991-02-28,14.042018305171524
1991-03-31,-17.12121134152585
1991-04-30,-23.713004352278546
1991-05-31,-41.67843983614951
1991-06-30,-30.77475704045058
1991-07-31,-7.7012892985150785
1991-08-31,-8.67927316948284
1991-09-30,6.572361239119303
1991-10-31,1.5482537122375817
1991-11-30,58.33978686635945
1991-12-31,71.08212557603689
1992-01-31,43.62113095238095
1992-02-29,44.39508852428624
1992-03-31,-1.9142969039673687
1992-04-30,-29.106940273142996
1992-05-31,-32.97723059572364
1992-06-30,-9.731862316153737
1992-07-31,3.6225624150290514
1992-08-31,14.42124521072796
1992-09-30,19.863569583487816
1992-10-31,43.68051044370287
1992-11-30,5.8309835619824355
1992-12-31,-36.97227450253368
1993-01-31,-21.32996267457669
1993-02-28,-16.373081285202247
1993-03-31,5.7312351510496455
1993-04-30,-17.396777393753197
1993-05-31,16.897727982590908
1993-06-30,-8.303907322068625
1993-07-31,-15.714998719918043
1993-08-31,10.189571172555048
1993-09-30,-5.611048899129543
1993-10-31,-44.24864029697902
1993-11-30,-20.677649257552474
1993-12-31,-32.615047107014846
1994-01-31,-24.80364925755248
1994-02-28,-35.70620974142345
1994-03-31,-25.3357297107015
1994-04-30,3.427823156682024
1994-05-31,3.8316242319508262
1994-06-30,-24.438494943676403
1994-07-31,-8.559226126472097
1994-08-31,-6.28562397593447
1994-09-30,5.648225486431144
1994-10-31,-11.663817524321573
1994-11-30,24.58299788786482
1994-12-31,-4.583136520737327
1995-01-31,38.1599279953917
1995-02-28,31.931681067588315
1995-03-31,-5.927884984639007
1995-04-30,-30.242880504352286
1995-05-31,-31.3884826548899
1995-06-30,-3.6043679595493927
1995-07-31,-7.115324948796712
1995-08-31,-46.58400774449564
1995-09-30,-35.94653641833077
1995-10-31,-8.901246095750153
1995-11-30,4.160416090629809
1995-12-31,24.25609350998465
1996-01-31,27.951631144393247
1996-02-29,6.563651742677067
1996-03-31,-0.9291467371153175
1996-04-30,-17.278542794462993
1996-05-31,-8.858548170807083
1996-06-30,-8.019262328513179
1996-07-31,-14.019520393029296
1996-08-31,-9.377235446792739
1996-09-30,-12.43014136077123
1996-10-31,-11.564888672599182
1996-11-30,-16.789360894821407
1996-12-31,-11.42763508836979
1997-01-31,0.30870899765172055
1997-02-28,-5.2484537890425
1997-03-31,-3.195062852022545
1997-04-30,-9.559874679979515
1997-05-31,9.991394137224788
1997-06-30,9.642501664106504
1997-07-31,-9.6884607014849
1997-08-31,1.6654102662570267
1997-09-30,-16.41370532514081
1997-10-31,8.37658499743982
1997-11-30,13.67485919098823
1997-12-31,-3.572769841269846
1998-01-31,40.086853814644144
1998-02-28,12.506037762416796
1998-03-31,-2.1470728366615504
1998-04-30,3.2036198156682048
1998-05-31,-8.783702764976951
1998-06-30,-8.243474270353289
1998-07-31,-5.176732334869428
1998-08-31,43.776170890937024
1998-09-30,67.58333218125962
1998-10-31,24.056756912442395
1998-11-30,4.323394905273943
1998-12-31,-8.854734126984141
1999-01-31,-1.0883093958013177
1999-02-28,-23.853101062467985
1999-03-31,-31.565670186891964
1999-04-30,-34.97033595750129
1999-05-31,-36.13624455965182
1999-06-30,-32.138440796210965
1999-07-31,-13.972376280081932
1999-08-31,-22.954392409114185
1999-09-30,-10.937303699436754
1999-10-31,-8.843104774705587
1999-11-30,-6.995336853558619
1999-12-31,12.448259920634932
2000-01-31,-0.408702444956468
2000-02-29,-6.1291780064268835
2000-03-31,7.542351470769987
2000-04-30,1.5501131195155153
2000-05-31,16.861914194784326
2000-06-30,5.22591419478433
2000-07-31,-6.852989031022105
2000-08-31,-12.49820408478557
2000-09-30,7.083201829192937
2000-10-31,5.722938388332707
2000-11-30,69.37876455320726
2000-12-31,51.49764627363737
2001-01-31,44.608748424175005
2001-02-28,37.68450902457758
2001-03-31,34.93005049923194
2001-04-30,11.857459101382489
2001-05-31,1.429066628264195
2001-06-30,-24.58672996671787
2001-07-31,-6.433106310803893
2001-08-31,-20.258617063492053
2001-09-30,119.59604691500256
2001-10-31,107.35953616231441
2001-11-30,23.992546018945234
2001-12-31,-3.0672926907322164
2002-01-31,9.46792236303125
2002-02-28,-42.46212371991807
2002-03-31,-32.2857297107015
2002-04-30,-49.636787954429096
2002-05-31,-33.94830408346135
2002-06-30,-37.90447164618536
2002-07-31,-1.3074716461853626
2002-08-31,-15.751342613927292
2002-09-30,16.13524071940607
2002-10-31,0.862375128008182
2002-11-30,25.55370487711211
2002-12-31,40.502048963133674
2003-01-31,68.00860810291857
2003-02-28,66.5791130952381
2003-03-31,77.18009235791092
2003-04-30,-4.990318036354324
2003-05-31,-26.07825889656938
2003-06-30,-53.60122484639015
2003-07-31,-56.737149577572964
2003-08-31,-47.35860119047618
2003-09-30,-37.41470513312852
2003-10-31,-63.81047395033282
2003-11-30,-61.88704653097798
2003-12-31,-43.11012179979518
2004-01-31,-15.984154057859698
2004-02-29,-16.715837442837724
2004-03-31,-24.321152607835863
2004-04-30,-21.339072858731924
2004-05-31,-1.184314794215794
2004-06-30,2.305627858113951
2004-07-31,-14.312382894574213
2004-08-31,-3.266845260165624
2004-09-30,3.195799901124701
2004-10-31,27.52842893338274
2004-11-30,-3.652437554072435
2004-12-31,-32.92705583364231
2005-01-31,-3.890496693857372
2005-02-28,-5.524435163850491
2005-03-31,-12.872991231438817
2005-04-30,-2.726155209933438
2005-05-31,4.192323284690232
2005-06-30,-7.5530369303635325
2005-07-31,-15.518768113159233
2005-08-31,-9.124305747567853
2005-09-30,19.188779377880167
2005-10-31,0.22705894777266167
2005-11-30,-12.045520801331286
2005-12-31,-2.4495691884280575
2006-01-31,1.4454845750128058
2006-02-28,-2.7174388120839836
2006-03-31,-9.946751408090122
2006-04-30,8.048520097286222
2006-05-31,6.243934075780857
2006-06-30,5.93202278545828
2006-07-31,10.772920634920624
2006-08-31,5.953404505888372
2006-09-30,-22.213538146441365
2006-10-31,-16.74232309267793
2006-11-30,-9.585282770097287
2006-12-31,-19.774051587301585
2007-01-31,-0.47085266257040814
2007-02-28,1.0118681515616998
2007-03-31,-2.909295442908345
2007-04-30,-11.145144905273938
2007-05-31,1.2494733742959596
2007-06-30,-2.313524833589362
2007-07-31,-11.1997345110087
2007-08-31,30.734405273937547
2007-09-30,25.478097926267267
2007-10-31,15.360151689708132
2007-11-30,6.172748463901691
2007-12-31,29.496619431643644
2008-01-31,109.1362430875576
2008-02-29,40.16807879124951
2008-03-31,38.3744933259177
2008-04-30,12.296877734519839
2008-05-31,-5.8470792547274755
2008-06-30,3.926449419107655
2008-07-31,1.9589978062044366
2008-08-31,-9.15998068841921
2008-09-30,74.70464027932267
2008-10-31,119.92651662340873
2008-11-30,84.06954171301442
2008-12-31,22.59270300333708
2009-01-31,69.76840192806824
2009-02-28,83.34491935483871
2009-03-31,28.747607526881694
2009-04-30,-25.199481182795694
2009-05-31,-44.690459677419355
2009-06-30,-61.14827867383514
2009-07-31,-48.50608512544801
2009-08-31,-75.39156899641578
2009-09-30,-71.31966129032257
2009-10-31,-67.0990806451613
2009-11-30,-28.57490322580645
2009-12-31,-7.389510752688182
2010-01-31,24.623258064516136
2010-02-28,26.92335791090629
2010-03-31,-8.16110829493087
2010-04-30,-26.089450588837707
2010-05-31,5.314834357398851
2010-06-30,12.357100486431136
2010-07-31,56.91647683051714
2010-08-31,36.03099295954942
2010-09-30,78.25942665130569
2010-10-31,81.37027611367128
2010-11-30,17.074330773169493
2010-12-31,2.324664106502837
2011-01-31,-13.983400409626256
2011-02-28,-32.58621626984126
2011-03-31,-12.715213965693778
2011-04-30,-39.82934120583717
2011-05-31,-60.50428744239632
2011-06-30,-27.53219604454685
2011-07-31,44.61424481566823
2011-08-31,90.67822331029183
2011-09-30,57.63440252176136
2011-10-31,-22.155785650281615
2011-11-30,-19.1715499871992
2011-12-31,30.731831733230933
2012-01-31,-0.4735983742959604
2012-02-29,-43.47347704239279
2012-03-31,-61.7071487146212
2012-04-30,-55.24570875046349
2012-05-31,-32.217181868743054
2012-06-30,13.544030496848336
2012-07-31,17.89078318502041
2012-08-31,4.633713292547242
2012-09-30,7.833167593622534
2012-10-31,20.598506303299956
2012-11-30,60.88545881226054
2012-12-31,62.31913085527128
2013-01-31,50.564695371400376
2013-02-28,-10.938455517153074
2013-03-31,-22.284066116231457
2013-04-30,-70.46323726318481
2013-05-31,-77.76662973630312
2013-06-30,-67.14311987967228
2013-07-31,-49.05941020225295
2013-08-31,-44.67416826676906
2013-09-30,-18.344032066052208
2013-10-31,40.004666858678945
2013-11-30,-42.096078661034326
2013-12-31,-24.9036539298515
2014-01-31,-11.183627048131072
2014-02-28,-18.176433307731685
2014-03-31,-23.32901779313876
2014-04-30,-30.38235739887353
2014-05-31,-24.908647721454173
2014-06-30,-23.35072836661547
2014-07-31,-18.117104710701483
2014-08-31,-33.69492729134665
2014-09-30,-24.369224782386077
2014-10-31,-6.885412954429071
2014-11-30,-12.856102022529441
2014-12-31,-2.7343977214541724
2015-01-31,12.921811955965183
2015-02-28,2.165467869943683
2015-03-31,-3.3288524065540273
2015-04-30,0.23714221710189065
2015-05-31,-2.471271761392728
2015-06-30,1.8508841525857633
2015-07-31,8.97698092677932
2015-08-31,8.803244367639536
2015-09-30,17.429748847926263
2015-10-31,-3.83617588325653
2015-11-30,-13.854844342037893
2015-12-31,1.311881464413716
2016-01-31,10.634300819252445
2016-02-29,8.328532505252753
2016-03-31,-7.085432085032757
2016-04-30,-17.146904307254985
2016-05-31,-13.761119361018402
2016-06-30,59.153434402422434
2016-07-31,18.47892902607836
2016-08-31,-4.39529140402918
2016-09-30,-22.454149826968226
2016-10-31,-3.604934773204789
2016-11-30,46.77414139166977
2016-12-31,40.62503386478805
2017-01-31,55.520517735755774
2017-02-28,27.43782840501791
2017-03-31,16.761323028673843
2017-04-30,1.1880309139784941
2017-05-31,-11.06292607526882
2017-06-30,-4.976614247311829
2017-07-31,-0.10583467741936659
2017-08-31,-27.3833884408602
2017-09-30,-19.308324820788513
2017-10-31,-33.34902912186381
2017-11-30,-9.491563172043016
2017-12-31,-7.3344395161290095
2018-01-31,19.337603494623636
2018-02-28,-8.474747695852543
2018-03-31,-13.097754608294949
2018-04-30,0.18580005120327314
2018-05-31,-0.182619303635434
2018-06-30,15.011850230414723
2018-07-31,10.822812596006173
2018-08-31,-4.025009984639013
2018-09-30,-20.97477611367127
2018-10-31,0.2437937788018445
2018-11-30,-9.558579877112138
2018-12-31,35.422296466973876
2019-01-31,51.82786098310292
2019-02-28,-11.993516705069126
2019-03-31,-1.510809331797205
2019-04-30,-16.606844278033776
2019-05-31,-1.4423227726574623
2019-06-30,38.677641385048645
2019-07-31,-3.502380120327686
2019-08-31,51.14116826676907
2019-09-30,9.96958134920635
2019-10-31,-10.980483166922667
2019-11-30,-28.072219726062457
2019-12-31,12.71198995135687
2020-01-31,4.521828661034306
2020-02-29,5.15650896057349
2020-03-31,248.47508422939066
2020-04-30,383.6946012544803
2020-05-31,280.07469265232976
2020-06-30,95.09632347670251
2020-07-31,118.578226702509
2020-08-31,45.76629121863803
2020-09-30,-15.869621863799296
2020-10-31,-6.629137992831545
2020-11-30,-28.67585394265234
2020-12-31,-64.46885394265234
2021-01-31,-95.91277867383513
2021-02-28,-161.00664388120842
2021-03-31,-121.72715847414233
2021-04-30,-139.87809395801332
2021-05-31,-103.35247030209936
2021-06-30,-102.92047567844342
2021-07-31,-66.93596492575523
2021-08-31,-58.265212237583185
2021-09-30,-51.55415578597031
2021-10-31,-48.65368804403482
2021-11-30,-12.354936251920122
2021-12-31,-1.9179792626728158
2022-01-31,12.490622887864845
2022-02-28,-2.9891687788018686
2022-03-31,54.8096561059908
2022-04-30,3.3560566436251804
2022-05-31,0.4596480414746793
2022-06-30,-1.5448501664106686
2022-07-31,10.48093477982593
2022-08-31,-16.84140392985151
2022-09-30,-25.559157514080894
2022-10-31,2.1997080773169557
2022-11-30,8.982541410650327
2022-12-31,-5.837367191500249
2023-01-31,45.05986399129546
2023-02-28,-20.151290002560174
2023-03-31,3.020449628776248
2023-04-30,1.2931763312851956
2023-05-31,48.26823547107011
2023-06-30,-18.877498399897576
2023-07-31,-35.84028334613417
2023-08-31,-38.07850915258575
2023-09-30,-44.7746417690732
2023-10-31,6.082691564260131
2023-11-30,-16.733558435739866
2023-12-31,-2.873488543266774
2024-01-31,15.808258768561174
2024-02-29,5.113609257199329
2024-03-31,-13.238148251143272
2024-04-30,-4.528656315659376
2024-05-31,-24.956516530713145
2024-06-30,-26.57591796440491
2024-07-31,27.36143149796071
2024-08-31,-12.704939469781223
2024-09-30,-17.359957390928187
2024-10-31,0.9055318563836465
2024-11-30,106.4855031825485
2024-12-31,53.97018597824746
2025-01-31,112.32464834383885
2025-02-28,172.1168925371224
2025-03-31,314.78251465693813
2025-04-30,335.1328345494111
2025-05-31,266.94690981822833
2025-06-30,141.6911783718864
